"path","signature","nickname","members","lettercontent","ip","user_agent","referrer","created_at"
"/pages/writeletters/","True","Meimei ","Jaehan","당신은 정말 좋아요 앞으로도 더 좋을 거예요 항상 힘내세요.— 번역기에서 나온 이상（加油，虽然以前有很多困难的事情！但是不影响你们以后的成就，歌真的很好听。感谢我的人生中出现了你们！）","113.89.94.111","Mozilla/5.0 (iPhone; CPU iPhone OS 14_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Weibo (iPhone10,1__weibo__12.11.5__iphone__os14.1)","https://forxloveletters.com/pages/writeletters/","2023-04-21T20:18:26.637Z"
"/pages/writeletters/","True","Meimei ","Jaehan","당신은 정말 좋아요 앞으로도 더 좋을 거예요 항상 힘내세요.— 번역기에서 나온 이상（加油，虽然以前有很多困难的事情！但是不影响你们以后的成就，歌真的很好听。感谢我的人生中出现了你们！）","113.89.94.111","Mozilla/5.0 (iPhone; CPU iPhone OS 14_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Weibo (iPhone10,1__weibo__12.11.5__iphone__os14.1)","https://forxloveletters.com/pages/writeletters/","2023-04-21T20:17:42.213Z"
"/pages/writeletters/","False","FOR X","ALL","To my dearest, 
I just wanna let you know that please take as much time as you need to rest before comeback, we can always wait for you. 🥺
No words can describe my love for you guys, you are my inspiration and motivation. I know it’s impossible to stay happy and healthy, but please remember we will be by your side forever. I hope we, FOR X, can be your strength and safe place 💖","1.52.41.17","Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.4 Mobile/15E148 Safari/604.1","https://forxloveletters.com/pages/writeletters/","2023-04-21T18:48:19.931Z"
"/pages/writeletters/","True","","ALL","Chinese fans love you so much！！！！❤️ 💕 💞 💓 💗 💖 💘 💝 💜 💛 💚 💟 💙 ❣️ ","117.159.39.70","Mozilla/5.0 (Linux; Android 10; V1941A Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 Weibo (vivo-vivo Z5i__weibo__13.4.2__android__android10)","https://forxloveletters.com/pages/writeletters/?continueFlag=dec20dad2aec42e604dee479999f8b65","2023-04-21T17:42:45.183Z"
"/pages/writeletters/","True","","ALL","중국팬들은당신들을많이사랑합니다.그러니까항상계속지켜주세요.사진과상태를많이보내주세요.당신들이좋다는것을알게해주세요.사랑합니다.완전사랑해요!!!!","117.159.39.70","Mozilla/5.0 (Linux; Android 10; V1941A Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 Weibo (vivo-vivo Z5i__weibo__13.4.2__android__android10)","https://forxloveletters.com/pages/writeletters/?continueFlag=dec20dad2aec42e604dee479999f8b65","2023-04-21T17:38:16.346Z"
"/pages/writeletters/","True","","Jaehan","오빠, 안녕하세요, 저는 중국에서 온 FORX입니다. 드라마 때문에 오빠를 알게 되었습니다. 그리고 OMEGAX의 11명의 멤버를 좋아하게 되었습니다. 하지만 저는 여전히 당신을 가장 좋아합니다. 하지만 중국 fans는 정말 어렵습니다. 우리는 YouTube Ins 로그인 소프트웨어를 설치하기 어렵습니다. 정말 어렵습니다. 저는 설치할 수 없습니다. 심지어 Google도 설치할 수 없습니다. 저는 제가 매우 멍청하다고 생각합니다. 3시간 이상 걸려도 Google에 들어가지 못했습니다. 화가 나서 울었습니다.
오빠 사랑해요 오메가엑스 사랑해요!!!","117.159.39.70","Mozilla/5.0 (Linux; Android 10; V1941A Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 Weibo (vivo-vivo Z5i__weibo__13.4.2__android__android10)","https://forxloveletters.com/pages/writeletters/?continueFlag=dec20dad2aec42e604dee479999f8b65","2023-04-21T17:33:07.924Z"
"/pages/writeletters/","True","","Yechan","오빠, 안녕하세요, 저는 중국에서 온 FORX입니다. 드라마 때문에 오빠를 알게 되었습니다. 그리고 OMEGAX의 11명의 멤버를 좋아하게 되었습니다. 하지만 저는 여전히 당신을 가장 좋아합니다. 하지만 중국 fans는 정말 어렵습니다. 우리는 YouTube Ins 로그인 소프트웨어를 설치하기 어렵습니다. 정말 어렵습니다. 저는 설치할 수 없습니다. 심지어 Google도 설치할 수 없습니다. 저는 제가 매우 멍청하다고 생각합니다. 3시간 이상 걸려도 Google에 들어가지 못했습니다. 화가 나서 울었습니다.
오빠 사랑해요 오메가엑스 사랑해요!!!","117.159.39.70","Mozilla/5.0 (Linux; Android 10; V1941A Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 Weibo (vivo-vivo Z5i__weibo__13.4.2__android__android10)","https://forxloveletters.com/pages/writeletters/","2023-04-21T17:30:57.551Z"
"/pages/writeletters/","True","snow-forx","全部","希望你们天天开心，健康平安，不要过度劳累。别害怕，勇敢地走下去，即使我们相隔很远我们的心也在一起。Even though we are far apart, our hearts are still together.有很多人支持你们，爱你们，所以一定要早日回归哦❤️❤️❤️Love you.","8.212.23.113","Mozilla/5.0 (Linux; Android 13; PGBM10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://forxloveletters.com/pages/writeletters/","2023-04-21T17:02:09.722Z"
"/pages/writeletters/","True","snow-forx","全部","I hope you are happy, healthy and safe, do not overwork, health is the most important! Enjoy the stage and pursue your dreams bravely! We will be with you forever. Love you guys.❤️❤️","8.212.23.113","Mozilla/5.0 (Linux; Android 13; PGBM10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://forxloveletters.com/pages/writeletters/","2023-04-21T16:58:08.730Z"
"/pages/writeletters/","True","for x繁星-maite","Jaehan","Dear Jeahan
  I am a new fans from China，it's first time to send letter to my idol. The life is so hard for me and Omega X. But  we meet each other，please keep going until the end. By the way ,Chinese fans have a chinese fan name 繁星，繁星 means star，it's pronounced like for_x. we hope chinese fans 繁星 can accompany the moons of Omega X forever.
we love you and are waiting for you forever.
                                               _for x/繁星.maite","159.138.55.98","Mozilla/5.0 (Linux; Android 9; HarmonyOS; PAR-AL00; HMSCore 6.10.0.311; GMSCore 23.08.15) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.105 HuaweiBrowser/12.0.3.310 Mobile Safari/537.36","https://forxloveletters.com/pages/writeletters/","2023-04-21T16:54:19.727Z"
"/pages/writeletters/","True","snow-forx","全部","Hi guys! You are the first idol group I follow. Through A Shoulder to Cry On to know jaehan and yechan. And I learned about OMEGA X through both of them. And now I love all of you so much!!!!!! I am very glad to meet you, you are so brave, sincere, powerful that you  let me very distressed and very admire. Do you know that you have at least 11,000 fans in China? And I'm one of them. We all love you very much. You inspire us not to give up our dreams. We can see the meaning of persistence in you. We love the way you are brave and united, and you are shining on the stage.Look forward to your early return, we will be waiting for you.  Chinese fans' name is ""Fanxing""""繁星""which takes from ""Forx"". You are our beautiful moon and we will be with you forever just like stars. Love you guys. Fighting!!!!!!","8.212.23.113","Mozilla/5.0 (Linux; Android 13; PGBM10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.96 Mobile Safari/537.36","https://forxloveletters.com/pages/writeletters/","2023-04-21T16:54:12.830Z"
"/pages/writeletters/","False","","ALL","너희들이 매일 즐거워하는 것을 보고, 나의 기분도 매우 좋다. 나는 중학교 3학년 학생이다. 학습상의 정신적 원동력은 바로 너희들이다. 너희들이 꿈을 위해 끊임없이 노력하는 전진도 내가 배우는 본보기이다. 나는 너희들이 항상 즐거워하고, 건강에 주의하기를 바란다. 아무리 많은 어려움이 있더라도, 우리 For x는 영원히 너희들을 사랑한다.
                                            ——  Chinese fan ","117.188.44.14","Mozilla/5.0 (Linux; Android 5.1.1; vivo X7Plus Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/39.0.0.0 Mobile Safari/537.36 Weibo (vivo-vivo X7Plus__weibo__12.6.0__android__android5.1.1)","https://forxloveletters.com/pages/writeletters/","2023-04-21T16:43:50.608Z"
"/pages/writeletters/","True","안드레아","ALL","오메가엑스 ㅂㄱㅅㅍ  :(","112.208.237.47","Mozilla/5.0 (Linux; Android 12; CPH2203) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36","https://forxloveletters.com/pages/writeletters/","2023-04-21T16:38:22.486Z"
"/pages/writeletters/","True","","ALL","몸조심하세요, 팬분들이 당신들의 귀가를 기대하고있어요. 계속 노력해주세요. 당신들이 쓰는 노래 한곡 모두 주의깊게 듣고있어요. 정말 너무 좋은 노래예요. 계속 창작해주셔서 감사합니다.OMEGA X는 분명 더 많은 사람들에게 보여질 것입니다!꽃길을 걷자!우리는 영원할 꺼야!
要保重身体，粉丝们都在期待你们的回归，请努力坚持下去吧，你们写的每一首歌我们都有在认真听，真的都是非常好听的歌曲，感谢你们的坚持创作，才让我们听到这些优秀的作品。OMEGA X一定会被更多人看到！一起走花路吧！我们会一直在的！
Take care of your health, the fans are looking forward to your return, please try to stick to it, we have been listening to every song you write, really are very good songs, thank you for your persistence, let us hear these excellent works. OMEGA X is sure to be seen by more people! Let's go flower road! We'll always be there!","123.147.251.53","Mozilla/5.0 (Linux; Android 13; PHK110 Build/SKQ1.221012.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Weibo (OnePlus-PHK110__weibo__13.4.1__android__android13)","https://forxloveletters.com/pages/writeletters/?continueFlag=8e699ca8eea18878060351d4f43d3478","2023-04-21T16:35:49.913Z"
"/pages/writeletters/","True","FOR X in China","ALL","몸조심하세요, 팬분들이 당신들의 귀가를 기대하고있어요. 계속 노력해주세요. 당신들이 쓰는 노래 한곡 모두 주의깊게 듣고있어요. 정말 너무 좋은 노래예요. 계속 창작해주셔서 감사합니다.OMEGA X는 분명 더 많은 사람들에게 보여질 것입니다!꽃길을 걷자!우리는 영원할 꺼야!
要保重身体，粉丝们都在期待你们的回归，请努力坚持下去吧，你们写的每一首歌我们都有在认真听，真的都是非常好听的歌曲，感谢你们的坚持创作，才让我们听到这些优秀的作品。OMEGA X一定会被更多人看到！一起走花路吧！我们会一直在的！
Take care of your health, the fans are looking forward to your return, please try to stick to it, we have been listening to every song you write, really are very good songs, thank you for your persistence, let us hear these excellent works. OMEGA X is sure to be seen by more people! Let's go flower road! We'll always be there!","123.147.251.53","Mozilla/5.0 (Linux; Android 13; PHK110 Build/SKQ1.221012.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Weibo (OnePlus-PHK110__weibo__13.4.1__android__android13)","https://forxloveletters.com/pages/writeletters/?continueFlag=8e699ca8eea18878060351d4f43d3478","2023-04-21T16:35:17.600Z"
"/pages/writeletters/","False","FOR X","ALL","生日快乐啊Jehyun。看着你们一路走来真的辛苦了，在今年我即将高考的这一年偶然遇见你们，真的感到非常幸运。你们真的很令人心疼，但希望无论将来你们遇到什么，你们都要相信，有中国的粉丝在后面为你们加油，一定要在今年变得越来越好啊。I Love You。😘😘😘😘😘","123.146.202.102","Mozilla/5.0 (Linux; Android 10; LYA-L29 Build/HUAWEILYA-L29; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5023 MMWEBSDK/20221206 MMWEBID/2675 MicroMessenger/8.0.32.2300(0x2800205D) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64","https://forxloveletters.com/pages/writeletters/","2023-04-21T15:19:12.330Z"
"/pages/writeletters/","True","","Jaehan","宰汉啊，我对我的未来感到很迷茫，不知道接下来怎么办。","223.104.148.72","Mozilla/5.0 (Linux; Android 12; JER-TN10 Build/HUAWEIJER-TN10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5023 MMWEBSDK/20221206 MMWEBID/3588 MicroMessenger/8.0.32.2300(0x2800205D) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64","https://forxloveletters.com/pages/writeletters/","2023-04-21T15:03:25.316Z"
"/pages/writeletters/","True","","Yechan","艺灿啊，我对我的未来感到很迷茫，不知道接下来怎么办。","223.104.148.72","Mozilla/5.0 (Linux; Android 12; JER-TN10 Build/HUAWEIJER-TN10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5023 MMWEBSDK/20221206 MMWEBID/3588 MicroMessenger/8.0.32.2300(0x2800205D) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64","https://forxloveletters.com/pages/writeletters/","2023-04-21T15:03:10.278Z"
"/pages/writeletters/","False","FOR X","ALL","""나의 열한 가지 보배, 나는 운 좋게도 너를 만나고, 너를 알고, 너를 사랑하게 되었다.""당신의 노고와 꾸준하게 꿈을 추구해 주셔서 감사합니다.너의 노래는 너무 아름답다, 너의 춤도 너무 아름답다!얘들아, 포기하지 마.점점 더 많은 사람들이 당신이 보물이라는 것을 발견합니다. 우리는 영원히 거기에 있을 것입니다.드라이 플라워의 매력도 무시할 수 없다.OMEGAX Fighting！！！","116.178.232.113","Mozilla/5.0 (Linux; Android 10; V2036A Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 Weibo (vivo-V2036A__weibo__13.3.1__android__android10)","https://forxloveletters.com/pages/writeletters/","2023-04-21T13:01:43.745Z"
"/pages/writeletters/","True","ting","ALL","Fighting！！！❤️❤️❤️","223.104.71.22","Mozilla/5.0 (Linux; Android 13; PFTM20 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 light/1.0 SP-engine/2.40.0 baiduboxapp/13.2.0.10 (Baidu; P1 13)","https://forxloveletters.com/pages/writeletters/","2023-04-21T12:30:54.693Z"
